Unnamed: 0,words,sentence,labels_y
"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]","['A', 'day', 'or', 'so', 'after', 'landing', ',', 'Nordenskjold', 'discovered', 'that', 'the', 'island', 'they', 'were', 'on', '--', 'named', 'Snow', 'Hill', 'Island', '--', 'was', 'peculiarly', 'interesting', 'from', 'a', 'geological', 'point', 'of', 'view', ',', 'for', 'he', 'found', 'fossils', 'of', 'ammonites', ',', 'a', 'token', 'of', 'ancient', 'life', 'of', 'the', 'region', 'which', 'alone', 'would', 'have', 'made', 'the', 'expedition', 'memorable', '.']","A day or so after landing , Nordenskjold discovered that the island they were on -- named Snow Hill Island -- was peculiarly interesting from a geological point of view , for he found fossils of ammonites , a token of ancient life of the region which alone would have made the expedition memorable .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'O', 'O', 'O', 'I-aspect', 'O', 'O', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]","['A', 'deep', 'valley', 'communicated', 'with', 'the', 'moft', 'level', 'of', 'thefe', 'plains', ',', 'defcending', 'gently', 'all', 'the', 'way', 'from', 'the', 'celebrated', 'fources', 'of', 'the', 'Nile^', 'which', 'were', 'not', 'more', 'than', 'half', 'a', 'day', ""'s"", 'journey', 'diftant', '.']","A deep valley communicated with the moft level of thefe plains , defcending gently all the way from the celebrated fources of the Nile^ which were not more than half a day 's journey diftant .","['O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18]","['A', 'favage', 'is', 'neither', 'a', 'brute', 'nor', 'a', 'barbarian', ':', 'the', 'real', 'monfter', 'is', 'he', 'w^ho', 'fees', 'crimes', 'every', 'where', ',', 'becaufe', 'he', 'fuppofes', 'them', ';', 'and', 'who', 'aflerts', 'their', 'exiftence', 'oti', 'the', 'odious', 'teftimony', 'of', 'his', 'own', 'confcience', '.']","A favage is neither a brute nor a barbarian : the real monfter is he w^ho fees crimes every where , becaufe he fuppofes them ; and who aflerts their exiftence oti the odious teftimony of his own confcience .","['O', 'B-aspect', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"[19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]","['A', 'fellow', 'in', 'a', 'canoe', 'having', 'been', 'refused', 'admittance', 'into', 'one', 'of', 'our', 'boats', 'that', 'lay', 'alongside', ',', 'bent', 'his', 'bow', 'to', 'shoot', 'a', 'poisoned', 'arrow', 'at', 'the', 'boat-keeper', '.']","A fellow in a canoe having been refused admittance into one of our boats that lay alongside , bent his bow to shoot a poisoned arrow at the boat-keeper .","['O', 'B-aspect', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","['A', 'few', 'minutes', 'later', 'the', 'traveler', 'is', 'looking', 'out', 'upon', 'the', 'grassy', 'hills', 'and', 'pleasant', 'valleys', 'of', 'the', 'Pacific', 'slope', ',', 'the', 'approach', 'to', 'the', 'tunnel', 'from', 'the', 'west', 'presenting', 'a', 'singular', 'contrast', 'to', 'the', 'savage', 'grandeur', 'that', 'distinguishes', 'the', 'approach', 'from', 'the', 'east', '.']","A few minutes later the traveler is looking out upon the grassy hills and pleasant valleys of the Pacific slope , the approach to the tunnel from the west presenting a singular contrast to the savage grandeur that distinguishes the approach from the east .","['O', 'O', 'O', 'O', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'I-aspect', 'B-aspect', 'I-aspect', 'O', 'O', 'B-aspect', 'O', 'I-aspect', 'B-aspect', 'I-aspect', 'O', 'I-aspect', 'I-aspect', 'O', 'I-aspect', 'B-aspect', 'I-aspect', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'I-aspect', 'B-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'O']"
"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21]","['A', 'fmall', 'paufe', 'enfued', ';', 'the', 'cry', 'of', 'the', 'Zibib', '!']",A fmall paufe enfued ; the cry of the Zibib !,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O']"
"[22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22]","['A', 'good', 'many', 'fine', 'yams', 'were', 'piled', 'up', 'upon', 'sticks', ',', 'or', 'a', 'kind', 'of', 'raised', 'platform', ';', 'and', 'about', 'twenty', 'pigs', ',', 'and', 'a', 'few', 'fowls', ',', 'were', 'running', 'about', 'loose', '.']","A good many fine yams were piled up upon sticks , or a kind of raised platform ; and about twenty pigs , and a few fowls , were running about loose .","['O', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'O', 'O', 'O', 'O', 'O']"
"[23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23]","['A', 'great', 'deal', 'of', 'bituminous', 'shale', 'was', 'lying', 'about', ',', 'which', 'burned', 'in', 'the', 'camp-fires', 'fairly', 'well', ',', 'but', 'with', 'a', 'black', 'heavy', 'smoke', 'and', 'a', 'strong', 'smell', '.']","A great deal of bituminous shale was lying about , which burned in the camp-fires fairly well , but with a black heavy smoke and a strong smell .","['O', 'O', 'O', 'O', 'B-aspect', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'B-aspect', 'I-aspect', 'I-aspect', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'O']"
"[24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]","['A', 'house', 'made', 'of', 'lumber', 'was', 'a', 'luxury', 'which', 'many', 'an', 'early', 'settler', 'had', 'to', 'look', 'forward', 'to', 'for', 'many', 'a', 'hard', ',', 'long', 'year', ',', 'and', 'often', 'he', 'had', 'to', 'die', 'in', 'the', 'dug-out', 'or', 'sod', 'shanty', '.']","A house made of lumber was a luxury which many an early settler had to look forward to for many a hard , long year , and often he had to die in the dug-out or sod shanty .","['O', 'B-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-aspect', 'I-aspect', 'O', 'O', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'I-aspect', 'O', 'I-aspect', 'I-aspect', 'I-aspect', 'O']"
"[25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]","['A', 'large', 'beaver', 'skin', 'weighs', 'about', 'two', 'pounds', '--', 'sometimes', 'more', '.']",A large beaver skin weighs about two pounds -- sometimes more .,"['O', 'O', 'B-aspect', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"[26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26]","['A', 'liquid', 'light', 'seems', 'forced', 'back', 'from', 'the', 'sky', 'into', 'every', 'tiny', 'crevice', 'of', 'this', 'bejeweled', 'wonderland', '.']",A liquid light seems forced back from the sky into every tiny crevice of this bejeweled wonderland .,"['B-aspect', 'I-aspect', 'I-aspect', 'O', 'O', 'O', 'O', 'O', 'B-aspect', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'O', 'B-aspect', 'I-aspect', 'I-aspect', 'O']"
