,sentence,text,_sentence_text,aspect_cat
39,IT_5_sample.txt_20277-21292,ilex,"The Boboli Gardens , with their alley ways of ilex , their cypresses and broken statues , their forgotten fountains , are full of sadness -- `` Tout en chantant sur le mode mineur , L'amour vainqueur et la vie opportune , Ils n'ont pas l'air de croire à leur bonheur , Et leur chanson se mêle au clair de lune , `` Au calme clair de lune triste et beau , Qui fait rêver les oiseaux dans les arbres , Et sangloter d'extase les jets d'eau , Les grands jets d'eau sveltes parmi les marbres . '' But the gardens of the Viale are in spring , at any rate , full of the joy of roses , banks , hedges , cascades of roses , armsful of them , drowsy in the heat and heavy with sweetness . `` I'mi trovai , fanciulle , un bel mattino Di mezzo maggio , in un verde giardino . '' [ Illustration : THE BOBOLI ] And if it be not the very place of which Poliziano sang in the most beautiful verses he ever wrote , certainly to-day there is nothing more lovely in Florence in spring , and in autumn too , than this Hill of Gardens .",FLORA
40,IT_5_sample.txt_20277-21292,cypresses,"The Boboli Gardens , with their alley ways of ilex , their cypresses and broken statues , their forgotten fountains , are full of sadness -- `` Tout en chantant sur le mode mineur , L'amour vainqueur et la vie opportune , Ils n'ont pas l'air de croire à leur bonheur , Et leur chanson se mêle au clair de lune , `` Au calme clair de lune triste et beau , Qui fait rêver les oiseaux dans les arbres , Et sangloter d'extase les jets d'eau , Les grands jets d'eau sveltes parmi les marbres . '' But the gardens of the Viale are in spring , at any rate , full of the joy of roses , banks , hedges , cascades of roses , armsful of them , drowsy in the heat and heavy with sweetness . `` I'mi trovai , fanciulle , un bel mattino Di mezzo maggio , in un verde giardino . '' [ Illustration : THE BOBOLI ] And if it be not the very place of which Poliziano sang in the most beautiful verses he ever wrote , certainly to-day there is nothing more lovely in Florence in spring , and in autumn too , than this Hill of Gardens .",FLORA
41,IT_5_sample.txt_20277-21292,oiseaux,"The Boboli Gardens , with their alley ways of ilex , their cypresses and broken statues , their forgotten fountains , are full of sadness -- `` Tout en chantant sur le mode mineur , L'amour vainqueur et la vie opportune , Ils n'ont pas l'air de croire à leur bonheur , Et leur chanson se mêle au clair de lune , `` Au calme clair de lune triste et beau , Qui fait rêver les oiseaux dans les arbres , Et sangloter d'extase les jets d'eau , Les grands jets d'eau sveltes parmi les marbres . '' But the gardens of the Viale are in spring , at any rate , full of the joy of roses , banks , hedges , cascades of roses , armsful of them , drowsy in the heat and heavy with sweetness . `` I'mi trovai , fanciulle , un bel mattino Di mezzo maggio , in un verde giardino . '' [ Illustration : THE BOBOLI ] And if it be not the very place of which Poliziano sang in the most beautiful verses he ever wrote , certainly to-day there is nothing more lovely in Florence in spring , and in autumn too , than this Hill of Gardens .",FAUNA
42,IT_5_sample.txt_20277-21292,arbres,"The Boboli Gardens , with their alley ways of ilex , their cypresses and broken statues , their forgotten fountains , are full of sadness -- `` Tout en chantant sur le mode mineur , L'amour vainqueur et la vie opportune , Ils n'ont pas l'air de croire à leur bonheur , Et leur chanson se mêle au clair de lune , `` Au calme clair de lune triste et beau , Qui fait rêver les oiseaux dans les arbres , Et sangloter d'extase les jets d'eau , Les grands jets d'eau sveltes parmi les marbres . '' But the gardens of the Viale are in spring , at any rate , full of the joy of roses , banks , hedges , cascades of roses , armsful of them , drowsy in the heat and heavy with sweetness . `` I'mi trovai , fanciulle , un bel mattino Di mezzo maggio , in un verde giardino . '' [ Illustration : THE BOBOLI ] And if it be not the very place of which Poliziano sang in the most beautiful verses he ever wrote , certainly to-day there is nothing more lovely in Florence in spring , and in autumn too , than this Hill of Gardens .",FAUNA
43,IT_5_sample.txt_20277-21292,roses,"The Boboli Gardens , with their alley ways of ilex , their cypresses and broken statues , their forgotten fountains , are full of sadness -- `` Tout en chantant sur le mode mineur , L'amour vainqueur et la vie opportune , Ils n'ont pas l'air de croire à leur bonheur , Et leur chanson se mêle au clair de lune , `` Au calme clair de lune triste et beau , Qui fait rêver les oiseaux dans les arbres , Et sangloter d'extase les jets d'eau , Les grands jets d'eau sveltes parmi les marbres . '' But the gardens of the Viale are in spring , at any rate , full of the joy of roses , banks , hedges , cascades of roses , armsful of them , drowsy in the heat and heavy with sweetness . `` I'mi trovai , fanciulle , un bel mattino Di mezzo maggio , in un verde giardino . '' [ Illustration : THE BOBOLI ] And if it be not the very place of which Poliziano sang in the most beautiful verses he ever wrote , certainly to-day there is nothing more lovely in Florence in spring , and in autumn too , than this Hill of Gardens .",FLORA
44,IT_5_sample.txt_20277-21292,hedges,"The Boboli Gardens , with their alley ways of ilex , their cypresses and broken statues , their forgotten fountains , are full of sadness -- `` Tout en chantant sur le mode mineur , L'amour vainqueur et la vie opportune , Ils n'ont pas l'air de croire à leur bonheur , Et leur chanson se mêle au clair de lune , `` Au calme clair de lune triste et beau , Qui fait rêver les oiseaux dans les arbres , Et sangloter d'extase les jets d'eau , Les grands jets d'eau sveltes parmi les marbres . '' But the gardens of the Viale are in spring , at any rate , full of the joy of roses , banks , hedges , cascades of roses , armsful of them , drowsy in the heat and heavy with sweetness . `` I'mi trovai , fanciulle , un bel mattino Di mezzo maggio , in un verde giardino . '' [ Illustration : THE BOBOLI ] And if it be not the very place of which Poliziano sang in the most beautiful verses he ever wrote , certainly to-day there is nothing more lovely in Florence in spring , and in autumn too , than this Hill of Gardens .",FLORA
45,IT_5_sample.txt_20277-21292,roses,"The Boboli Gardens , with their alley ways of ilex , their cypresses and broken statues , their forgotten fountains , are full of sadness -- `` Tout en chantant sur le mode mineur , L'amour vainqueur et la vie opportune , Ils n'ont pas l'air de croire à leur bonheur , Et leur chanson se mêle au clair de lune , `` Au calme clair de lune triste et beau , Qui fait rêver les oiseaux dans les arbres , Et sangloter d'extase les jets d'eau , Les grands jets d'eau sveltes parmi les marbres . '' But the gardens of the Viale are in spring , at any rate , full of the joy of roses , banks , hedges , cascades of roses , armsful of them , drowsy in the heat and heavy with sweetness . `` I'mi trovai , fanciulle , un bel mattino Di mezzo maggio , in un verde giardino . '' [ Illustration : THE BOBOLI ] And if it be not the very place of which Poliziano sang in the most beautiful verses he ever wrote , certainly to-day there is nothing more lovely in Florence in spring , and in autumn too , than this Hill of Gardens .",FLORA
46,IT_5_sample.txt_21544-21951,roses,"There , as you walk in spring , while the city unfolds herself before you , a garden of roses in which a lily has towered , or in the autumn afternoons when she is caught in silver mist , a city of fragile and delicate beauty , that is soon lost in the twilight , you may see Florence as she remains in spite of every violation , Città dei Fiori , Firenze la Bella Bellissima , the sweet Princess of Italy .",FLORA
47,IT_5_sample.txt_21544-21951,lily,"There , as you walk in spring , while the city unfolds herself before you , a garden of roses in which a lily has towered , or in the autumn afternoons when she is caught in silver mist , a city of fragile and delicate beauty , that is soon lost in the twilight , you may see Florence as she remains in spite of every violation , Città dei Fiori , Firenze la Bella Bellissima , the sweet Princess of Italy .",FLORA
48,IT_5_sample.txt_21952-22050,flowers,"And , like the way of life , this road among the flowers ends in a graveyard , the graveyard of S.",FLORA
49,IT_5_sample.txt_22093-22172,bird,"Salvatore , that little brown bird among the cypresses , over the grey olives .",FAUNA
50,IT_5_sample.txt_138-332,lilies,It is true that on any spring morning you may see the cloister filled with laughing lilies to be laid at Madonna 's feet ; but who knows if she be not fled away with her Servi to Monte Senario ?,FLORA
51,GB-91_sample_English_20.txt_3049-3457,insect,"The expedition was then practically at an end , having succeeded so well in its objects that it was able to claim that it had located the Southern Magnetic Pole as being in latitude 73° 20 ' S. and longitude 146° E. ; had discovered insect and plant life on the Antarctic continent ; had reached the farthest South , and had added very considerably to the geographical and scientific knowledge of the world .",FAUNA
52,GB-91_sample_English_20.txt_3049-3457,plant,"The expedition was then practically at an end , having succeeded so well in its objects that it was able to claim that it had located the Southern Magnetic Pole as being in latitude 73° 20 ' S. and longitude 146° E. ; had discovered insect and plant life on the Antarctic continent ; had reached the farthest South , and had added very considerably to the geographical and scientific knowledge of the world .",FLORA
53,GB-91_sample_English_20.txt_14316-14495,fossil wood,"Nearly ten years before Captain Larsen had visited this island , and had taken from it specimens of fossil wood and molluscs , the first fossils ever discovered in the Antarctic .",FLORA
54,GB-91_sample_English_20.txt_14316-14495,molluscs,"Nearly ten years before Captain Larsen had visited this island , and had taken from it specimens of fossil wood and molluscs , the first fossils ever discovered in the Antarctic .",FAUNA
55,GB-91_sample_English_20.txt_17609-17773,penguins,"On the land there were abundance of penguins , seals , and migratory birds ; but otherwise there was an absence of the animals found throughout the Arctic regions .",FAUNA
56,GB-91_sample_English_20.txt_17609-17773,seals,"On the land there were abundance of penguins , seals , and migratory birds ; but otherwise there was an absence of the animals found throughout the Arctic regions .",FAUNA
57,GB-91_sample_English_20.txt_17609-17773,migratory birds,"On the land there were abundance of penguins , seals , and migratory birds ; but otherwise there was an absence of the animals found throughout the Arctic regions .",FAUNA
58,GB-91_sample_English_20.txt_22743-23023,vertebrate animal,"Other shorter trips taken over the islands in the vicinity of Snow Hill Island resulted in the discovery of important fossils , including the bones of an unknown vertebrate animal , some mammoth penguins , as well as the leaves of different kinds of pine trees and several ferns .",FAUNA
59,GB-91_sample_English_20.txt_22743-23023,mammoth penguins,"Other shorter trips taken over the islands in the vicinity of Snow Hill Island resulted in the discovery of important fossils , including the bones of an unknown vertebrate animal , some mammoth penguins , as well as the leaves of different kinds of pine trees and several ferns .",FAUNA
60,GB-91_sample_English_20.txt_22743-23023,leaves,"Other shorter trips taken over the islands in the vicinity of Snow Hill Island resulted in the discovery of important fossils , including the bones of an unknown vertebrate animal , some mammoth penguins , as well as the leaves of different kinds of pine trees and several ferns .",FLORA
61,GB-91_sample_English_20.txt_22743-23023,pine trees,"Other shorter trips taken over the islands in the vicinity of Snow Hill Island resulted in the discovery of important fossils , including the bones of an unknown vertebrate animal , some mammoth penguins , as well as the leaves of different kinds of pine trees and several ferns .",FLORA
62,GB-91_sample_English_20.txt_22743-23023,ferns,"Other shorter trips taken over the islands in the vicinity of Snow Hill Island resulted in the discovery of important fossils , including the bones of an unknown vertebrate animal , some mammoth penguins , as well as the leaves of different kinds of pine trees and several ferns .",FLORA
63,GB-91_sample_English_20.txt_24053-24246,penguin,"The penguin roosts were visited and large numbers of the birds were killed and stored away for winter food , while seals were slaughtered to provide food for the dogs and clothing for the men .",FAUNA
64,GB-91_sample_English_20.txt_24053-24246,birds,"The penguin roosts were visited and large numbers of the birds were killed and stored away for winter food , while seals were slaughtered to provide food for the dogs and clothing for the men .",FLORA
65,GB-91_sample_English_20.txt_24053-24246,seals,"The penguin roosts were visited and large numbers of the birds were killed and stored away for winter food , while seals were slaughtered to provide food for the dogs and clothing for the men .",FAUNA
66,GB-91_sample_English_20.txt_24053-24246,dogs,"The penguin roosts were visited and large numbers of the birds were killed and stored away for winter food , while seals were slaughtered to provide food for the dogs and clothing for the men .",FAUNA
67,GB-138_sample_English_20.txt_9120-9224,dogs,"Contrary to our usual custom , the dogs had been allowed to rest in their traces attached to the sleds .",FAUNA
68,GB-138_sample_English_20.txt_9536-9589,each dog,Then each dog was given a double ration of pemmican .,FAUNA
69,GB-138_sample_English_20.txt_9964-10210,reindeer,"We withdrew to the inside of the dome of snow-blocks , pulled in a block to close the doors , spread out our bags as beds on the platform of leveled snow , pulled off boots and trousers , and slipped half-length into the bristling reindeer furs .",FAUNA
70,GB-138_sample_English_20.txt_11108-11272,musk ox,"A pemmican soup , flavored with musk ox tenderloins , steaming with heat -- a luxury seldom enjoyed in our camps -- next went down with warming , satisfying gulps .",FAUNA
71,GB-138_sample_English_20.txt_11360-11445,musk ox,"Later , a few squares of musk ox suet gave the taste of sweets to round up our meal .",FAUNA
72,GB-138_sample_English_20.txt_12052-12281,dogs,"Returning , I did some figuring , lay down on my bag , and at ten o'clock , or four hours later , leaving Ah-we-lah to guard the camp and dogs , E-tuk-i-shook joined me to make a tent camp about four miles to the magnetic south .",FAUNA
73,GB-138_sample_English_20.txt_12756-12912,dogs,"In the idle times between observations , I went over to a new break between the field on which we were camped and that on which Ah-we-lah guarded the dogs .",FAUNA
74,GB-138_sample_English_20.txt_15939-16168,animal life,"In doing this , there came to me slowly the solution of various problems of animal life , and eventually there was uncovered what to me proved a startling revelation in the incidents that led up to animal coloring in the Arctic .",FAUNA
75,GB-138_sample_English_20.txt_16324-16435,snow-fitted creatures,"The facts here indicated will be presented later , when we deal with the snow-fitted creatures at close range .",FAUNA
76,GB-138_sample_English_20.txt_24507-24585,game,"They foretold storms , located game and read the story of home entanglements .",FAUNA
77,BHL_118_sample_English_20.0.txt_199-290,Heterocuma Weberi,"Heterocuma Weberi , Bathycuma longirostris , Pseudodiastylis ferox , Diastylis cingulatus .",FAUNA
78,BHL_118_sample_English_20.0.txt_199-290,Bathycuma longirostris,"Heterocuma Weberi , Bathycuma longirostris , Pseudodiastylis ferox , Diastylis cingulatus .",FAUNA
79,BHL_118_sample_English_20.0.txt_199-290,Pseudodiastylis ferox,"Heterocuma Weberi , Bathycuma longirostris , Pseudodiastylis ferox , Diastylis cingulatus .",FAUNA
80,BHL_118_sample_English_20.0.txt_199-290,Diastylis cingulatus,"Heterocuma Weberi , Bathycuma longirostris , Pseudodiastylis ferox , Diastylis cingulatus .",FAUNA
81,BHL_118_sample_English_20.0.txt_420-542,Foraminifera,"Solid bluish grey mud with Foraminifera , covered by a 5 cm . thick layer of brown mud , uppermost layer of Foraminifera .",FAUNA
82,BHL_118_sample_English_20.0.txt_420-542,Foraminifera,"Solid bluish grey mud with Foraminifera , covered by a 5 cm . thick layer of brown mud , uppermost layer of Foraminifera .",FAUNA
83,BHL_118_sample_English_20.0.txt_560-582,Diastylis cingulatus,Diastylis cingulatus .,FAUNA
84,BHL_118_sample_English_20.0.txt_690-707,Diastylopsis,Diastylopsis sp .,FAUNA
85,BHL_118_sample_English_20.0.txt_829-884,Cyclaspoides sp,Cyclaspoides sp . ( in atrial cavity of an Ascidian ) .,FAUNA
86,BHL_118_sample_English_20.0.txt_829-884,Ascidian,Cyclaspoides sp . ( in atrial cavity of an Ascidian ) .,FAUNA
87,BHL_118_sample_English_20.0.txt_921-949,Cyclaspis pcrscidpta,Cyclaspis pcrscidpta n. sp .,FAUNA
88,BHL_118_sample_English_20.0.txt_1101-1286,C. exsculpta Sars,"Resembling C. exsculpta Sars , in the general shape of the carapace , which is strongly sculptured with crests and hollows arranged in a manner comparable to that of the species named .",FAUNA
89,BHL_118_sample_English_20.0.txt_1475-1672,Sars,The downward continuation of the ridge below this tooth meets a straight horizontal ridge which runs backwards forming the lower boundary of the `` lateral depressed area '' of Sars ' description .,FAUNA
90,BHL_118_sample_English_20.0.txt_1673-1817,C. exsculpta,"The junction of the two ridges is elevated into another tooth , also indicated in C. exsculpta , marking the lower anterior corner of the area .",FAUNA
91,BHL_118_sample_English_20.0.txt_1818-1972,C. exsculpta,"The posterior transverse dorsal ridge is much further forward than in C. exsculpta , being only a little behind the middle of the length of the carapace .",FAUNA
92,BHL_118_sample_English_20.0.txt_2451-2731,C. exsctilpta,"Owing to the forward position of the posterior transverse ridge and to the oblique direction of its lateral continuation , the lateral depressed area , which is more nearly quadrangular than in C. exsctilpta , is much smaller and placed much further forward than in that species .",FAUNA
93,BHL_118_sample_English_20.0.txt_2732-3032,C. exsculpta,"Behind it , and nearly parallel to its posterior border , is a slightly curved ridge joining below a continuation of the lower horizontal ridge , and following it at about an equal distance is a still more oblique ridge which corresponds to the lateral one of the three dorsal keels in C. exsculpta .",FAUNA
94,BHL_118_sample_English_20.0.txt_4937-5087,C. atistralis,"The remaining pairs of legs do not differ greatly from those of C. atistralis , figured by Sars , except that the second pair are relatively shorter .",FAUNA
95,BHL_118_sample_English_20.0.txt_5812-6136,very handsome .species,"By its stongly sculptured carapace this very handsome .species is at once distinguished from all the species of Cyclaspis hitherto described with the exception of C. exsculpta described by Sars from a fragmentary specimen obtained by the `` Challenger '' in 7 fathoms in Flinders Passage , between Australia and New Guinea .",FAUNA
96,BHL_118_sample_English_20.0.txt_5812-6136,Cyclaspis,"By its stongly sculptured carapace this very handsome .species is at once distinguished from all the species of Cyclaspis hitherto described with the exception of C. exsculpta described by Sars from a fragmentary specimen obtained by the `` Challenger '' in 7 fathoms in Flinders Passage , between Australia and New Guinea .",FAUNA
97,BHL_118_sample_English_20.0.txt_5812-6136,C. exsculpta,"By its stongly sculptured carapace this very handsome .species is at once distinguished from all the species of Cyclaspis hitherto described with the exception of C. exsculpta described by Sars from a fragmentary specimen obtained by the `` Challenger '' in 7 fathoms in Flinders Passage , between Australia and New Guinea .",FAUNA
98,BHL_118_sample_English_20.0.txt_6774-6799,Cyclaspis Sibogcr,Cyclaspis Sibogcr n. sp .,FAUNA
99,BHL_118_sample_English_20.0.txt_9508-9700,Cyclaspis,As the inflated carapace is almost the only definite character distinguishing the genus Cyclaspis from Bodotria^ the species might perhaps equally well have been referred to the latter genus .,FAUNA
100,BHL_118_sample_English_20.0.txt_9508-9700,Bodotria,As the inflated carapace is almost the only definite character distinguishing the genus Cyclaspis from Bodotria^ the species might perhaps equally well have been referred to the latter genus .,FAUNA
