source_file,text,_sentence_text,annotation
IT_5_sample.txt,mere beauty,"In Masaccio 's work you will find a more splendid style , the real majesty of the creator , a strangely sure generalisation and expression ; but in Masolino 's work there still lingers something of the mere beauty of Gentile da Fabriano , the particular personal loveliness of things which you may know he has touched with a caress or seen always with joy .",4
IT_5_sample.txt,had evidently been much impressed,"He had evidently been much impressed by the work of Donato , and , indeed , something of the realism of sculpture has passed into his work , in the St.",4
IT_5_sample.txt,magical sincerity,"And then with a magical sincerity Masaccio has understood the mere discomfort of such a delay in the cool air , and a shiver seems about to pass over that body , which is as real to us as any figure in the work of Michelangelo .",4
IT_5_sample.txt,elemental and tremendous genius,"Here , it might seem , we have the end of merely decorative painting , the beginning of realism , of the effect of reality , and it is therefore with surprise we see so facile a master as Filippino Lippi set to finish work of such elemental and tremendous genius .",5
IT_5_sample.txt,would scarcely be worth a visit,"You may enter it from Lung ' Arno , but it would scarcely be worth a visit , for it is a late seventeenth-century building , save that in the convent may still be found the cell of S.",2
IT_5_sample.txt,the hero of 1494,"Friano and the grain store of Cosimo III , past the houses of the Soderini to Ponte alla Carraia , which fell on Mayday 1304 , sending so many to that other world they had come out to see , and so past the house of Piero Capponi , the hero of 1494 who kept the Medici at bay , and threatened Charles VIII in the council ; then turning down Via Coverelli one comes to Santo Spirito .",4
IT_5_sample.txt,most beautiful,"It was rebuilt , however , in the next twenty years from the designs of Brunellesco , and is to-day the most beautiful fifteenth-century church in Florence , full of light and sweetness , very spacious , too , and with a certain fortunate colour about it that gives it an air of cheerfulness and serenity beyond anything of the kind to be found in the Duomo or S.",5
IT_5_sample.txt,full of light and sweetness,"It was rebuilt , however , in the next twenty years from the designs of Brunellesco , and is to-day the most beautiful fifteenth-century church in Florence , full of light and sweetness , very spacious , too , and with a certain fortunate colour about it that gives it an air of cheerfulness and serenity beyond anything of the kind to be found in the Duomo or S.",4
IT_5_sample.txt,very spacious,"It was rebuilt , however , in the next twenty years from the designs of Brunellesco , and is to-day the most beautiful fifteenth-century church in Florence , full of light and sweetness , very spacious , too , and with a certain fortunate colour about it that gives it an air of cheerfulness and serenity beyond anything of the kind to be found in the Duomo or S.",4
IT_5_sample.txt,a certain fortunate colour about it that gives it an air of cheerfulness and serenity beyond anything of the kind to be found,"It was rebuilt , however , in the next twenty years from the designs of Brunellesco , and is to-day the most beautiful fifteenth-century church in Florence , full of light and sweetness , very spacious , too , and with a certain fortunate colour about it that gives it an air of cheerfulness and serenity beyond anything of the kind to be found in the Duomo or S.",4
IT_5_sample.txt,very genius,"It is in the form of a Latin cross , and suggests even yet in some happy way the very genius of the Latin people in its temperance and delight in the sun and the day .",4
IT_5_sample.txt,desecrated,"The convent , it is true , has been desecrated , and is now a barracks ; most of the altars have been robbed of their treasures ; but the church itself remains to us a very precious possession from that fifteenth century , which in Italy certainly was so fortunate , so perfect a dawn of a day that was a little disappointing , and at evening so disastrous .",2
IT_5_sample.txt,very precious possession,"The convent , it is true , has been desecrated , and is now a barracks ; most of the altars have been robbed of their treasures ; but the church itself remains to us a very precious possession from that fifteenth century , which in Italy certainly was so fortunate , so perfect a dawn of a day that was a little disappointing , and at evening so disastrous .",4
IT_5_sample.txt,a temple of the sun,"What is left to us of that far-away flower-like beauty of fifteenth-century painting and sculpture will be found in the great transept , that makes of the church a cross of light , a temple of the sun .",4
IT_5_sample.txt,beautiful,"The sacristy is beautiful , built by Giovanni da Sangallo , and the cloisters now spoiled are the work of Ammanati .",4
IT_5_sample.txt,spoiled,"The sacristy is beautiful , built by Giovanni da Sangallo , and the cloisters now spoiled are the work of Ammanati .",2
IT_5_sample.txt,great book-collector and humanist,"And then , here Niccolò Niccoli is buried , that great book-collector and humanist ; while the barbarians are represented , if only by the passing figure of Martin Luther , not then forsworn , who is said to have preached here on his way to Rome .",4
IT_5_sample.txt,beautiful,"It is strange to think that these beautiful pillars have heard his rough eloquence , an eloquence that was so soon to destroy the spirit that had conceived them .",4
IT_5_sample.txt,full of sadness,"The Boboli Gardens , with their alley ways of ilex , their cypresses and broken statues , their forgotten fountains , are full of sadness -- `` Tout en chantant sur le mode mineur , L'amour vainqueur et la vie opportune , Ils n'ont pas l'air de croire à leur bonheur , Et leur chanson se mêle au clair de lune , `` Au calme clair de lune triste et beau , Qui fait rêver les oiseaux dans les arbres , Et sangloter d'extase les jets d'eau , Les grands jets d'eau sveltes parmi les marbres . '' But the gardens of the Viale are in spring , at any rate , full of the joy of roses , banks , hedges , cascades of roses , armsful of them , drowsy in the heat and heavy with sweetness . `` I'mi trovai , fanciulle , un bel mattino Di mezzo maggio , in un verde giardino . '' [ Illustration : THE BOBOLI ] And if it be not the very place of which Poliziano sang in the most beautiful verses he ever wrote , certainly to-day there is nothing more lovely in Florence in spring , and in autumn too , than this Hill of Gardens .",2
IT_5_sample.txt,drowsy in the heat and heavy with sweetness,"The Boboli Gardens , with their alley ways of ilex , their cypresses and broken statues , their forgotten fountains , are full of sadness -- `` Tout en chantant sur le mode mineur , L'amour vainqueur et la vie opportune , Ils n'ont pas l'air de croire à leur bonheur , Et leur chanson se mêle au clair de lune , `` Au calme clair de lune triste et beau , Qui fait rêver les oiseaux dans les arbres , Et sangloter d'extase les jets d'eau , Les grands jets d'eau sveltes parmi les marbres . '' But the gardens of the Viale are in spring , at any rate , full of the joy of roses , banks , hedges , cascades of roses , armsful of them , drowsy in the heat and heavy with sweetness . `` I'mi trovai , fanciulle , un bel mattino Di mezzo maggio , in un verde giardino . '' [ Illustration : THE BOBOLI ] And if it be not the very place of which Poliziano sang in the most beautiful verses he ever wrote , certainly to-day there is nothing more lovely in Florence in spring , and in autumn too , than this Hill of Gardens .",4
IT_5_sample.txt,nothing more lovely in Florence in spring,"The Boboli Gardens , with their alley ways of ilex , their cypresses and broken statues , their forgotten fountains , are full of sadness -- `` Tout en chantant sur le mode mineur , L'amour vainqueur et la vie opportune , Ils n'ont pas l'air de croire à leur bonheur , Et leur chanson se mêle au clair de lune , `` Au calme clair de lune triste et beau , Qui fait rêver les oiseaux dans les arbres , Et sangloter d'extase les jets d'eau , Les grands jets d'eau sveltes parmi les marbres . '' But the gardens of the Viale are in spring , at any rate , full of the joy of roses , banks , hedges , cascades of roses , armsful of them , drowsy in the heat and heavy with sweetness . `` I'mi trovai , fanciulle , un bel mattino Di mezzo maggio , in un verde giardino . '' [ Illustration : THE BOBOLI ] And if it be not the very place of which Poliziano sang in the most beautiful verses he ever wrote , certainly to-day there is nothing more lovely in Florence in spring , and in autumn too , than this Hill of Gardens .",4
IT_5_sample.txt,alley of gold,"In autumn too ; for then the way that winds there about the hills is an alley of gold , strewn with the leaves of the plane-trees that the winds have scattered in countless riches under your feet ; that whisper still in golden beauty over your head .",4
IT_5_sample.txt,countless riches under your feet ; that whisper still in golden beauty over your head,"In autumn too ; for then the way that winds there about the hills is an alley of gold , strewn with the leaves of the plane-trees that the winds have scattered in countless riches under your feet ; that whisper still in golden beauty over your head .",4
IT_5_sample.txt,silver,"There , as you walk in spring , while the city unfolds herself before you , a garden of roses in which a lily has towered , or in the autumn afternoons when she is caught in silver mist , a city of fragile and delicate beauty , that is soon lost in the twilight , you may see Florence as she remains in spite of every violation , Città dei Fiori , Firenze la Bella Bellissima , the sweet Princess of Italy .",4
IT_5_sample.txt,a city of fragile and delicate beauty,"There , as you walk in spring , while the city unfolds herself before you , a garden of roses in which a lily has towered , or in the autumn afternoons when she is caught in silver mist , a city of fragile and delicate beauty , that is soon lost in the twilight , you may see Florence as she remains in spite of every violation , Città dei Fiori , Firenze la Bella Bellissima , the sweet Princess of Italy .",4
IT_5_sample.txt,la Bella Bellissima,"There , as you walk in spring , while the city unfolds herself before you , a garden of roses in which a lily has towered , or in the autumn afternoons when she is caught in silver mist , a city of fragile and delicate beauty , that is soon lost in the twilight , you may see Florence as she remains in spite of every violation , Città dei Fiori , Firenze la Bella Bellissima , the sweet Princess of Italy .",4
IT_5_sample.txt,cruelly persecuted the Christians wheresoever he could hear of them or find them out,"And we find that Decius the Emperor , in the first year of his reign , which was in the year of Christ 270 , was in Florence , the treasure-house and chancelry of the empire , sojourning there for his pleasure ; and the said Decius cruelly persecuted the Christians wheresoever he could hear of them or find them out , and he heard tell how the blessed S.",2
IT_5_sample.txt,blessed,"This blessed Miniato was first-born son to the King of Armenia , and having left his kingdom for the faith of Christ , to do penance and to be far away from his kingdom , he went over-seas to gain pardon at Rome , and then betook himself to the said wood , which was in those days wild and solitary , forasmuch as the city of Florence did not extend , and was not settled beyond Arno but was all on this side , -- save only there was one bridge across Arno , not , however , where the bridges now are .",4
IT_5_sample.txt,wild and solitary,"This blessed Miniato was first-born son to the King of Armenia , and having left his kingdom for the faith of Christ , to do penance and to be far away from his kingdom , he went over-seas to gain pardon at Rome , and then betook himself to the said wood , which was in those days wild and solitary , forasmuch as the city of Florence did not extend , and was not settled beyond Arno but was all on this side , -- save only there was one bridge across Arno , not , however , where the bridges now are .",4
IT_5_sample.txt,blessed,"The said Emperor Decius caused the said blessed Miniato to be taken , as his story narrates .",4
IT_5_sample.txt,blessed,"And when the head of the blessed Miniato had been cut off , by a miracle of Christ , with his hands he set it again upon his trunk , and on his feet passed over Arno , and went up the hill where now stands his church , where at that time there was a little oratory in the name of the blessed Peter the Apostle , where many bodies of holy martyrs were buried .",4
IT_5_sample.txt,blessed,"Miniato was come to that place , he gave up his soul to Christ , and his body was there secretly buried by the Christians ; the which place , by reason of the merits of the blessed S.",4
IT_5_sample.txt,not so kind,"Author: Edward Hutton
Title: Edward Hutton
Language: English
It is not quite our way in England , but then the sun is not so kind to us .",2
IT_5_sample.txt,spoiled,"Within , the church is spoiled and very ugly .",2
IT_5_sample.txt,very ugly,"Within , the church is spoiled and very ugly .",1
IT_5_sample.txt,poor little,"It is said to have been the first of its kind in Europe ; originally meant for the reception of illegitimate children -- Leonardo da Vinci , for instance -- it is to-day ready to receive any poor little soul who has come unwanted into the world ; it cares for more than a thousand of such every year .",2
IT_5_sample.txt,Bernardino of Siena,Bernardino of Siena .,3
IT_5_sample.txt,Riformati,In Italy they were called Riformati .,3
IT_5_sample.txt,nobles,"Here in 1343 the nobles made their last stand , here the signal was given for the Ciompi rising , and here Luca Pitti built his palace to outdo the Medici .",3
IT_5_sample.txt,fine romanesque,"Jacopo , which still retains a fine romanesque arcade , was originally a foundation of the eleventh century .",4
IT_5_sample.txt,picturesque,"Close by is a group of old towers , still picturesque and splendid .",4
IT_5_sample.txt,splendid,"Close by is a group of old towers , still picturesque and splendid .",4
IT_5_sample.txt,meretricious,"Famous now because there Fra Lippo Lippi lived , and there Masolino and Masaccio painted , it is in itself one of the most meretricious and worthless buildings of the eighteenth century , full of every sort of flamboyant ornament and insincere , uncalled-for decoration ; and yet , in spite of every vulgarity , how spacious it is , as though even in that evil hour the Latin genius could not wholly forget its delight in space and light .",1
IT_5_sample.txt,worthless,"Famous now because there Fra Lippo Lippi lived , and there Masolino and Masaccio painted , it is in itself one of the most meretricious and worthless buildings of the eighteenth century , full of every sort of flamboyant ornament and insincere , uncalled-for decoration ; and yet , in spite of every vulgarity , how spacious it is , as though even in that evil hour the Latin genius could not wholly forget its delight in space and light .",1
IT_5_sample.txt,very good,"Masolino da Panicale of Valdelsa was , according to Vasari , a pupil of Lorenzo Ghiberti , and had been in his younger days a very good goldsmith .",4
IT_5_sample.txt,the best,He was the best among those who helped Ghiberti in the labours of the doors of S.,5
IT_5_sample.txt,magical sincerity,"And then with a magical sincerity Masaccio has understood the mere discomfort of such a delay in the cool air , and a shiver seems about to pass over that body , which is as real to us as any figure in the work of Michelangelo .",4
IT_5_sample.txt,full of energy,"Or again , in the fresco of the Tribute Money , how real and full of energy these people are , -- the young man with his back to us , who has been interrupted ; Jesus Himself , who has just interposed ; Peter , who is protesting .",4
IT_5_sample.txt,elemental,"Here , it might seem , we have the end of merely decorative painting , the beginning of realism , of the effect of reality , and it is therefore with surprise we see so facile a master as Filippino Lippi set to finish work of such elemental and tremendous genius .",3
IT_5_sample.txt,tremendous,"Here , it might seem , we have the end of merely decorative painting , the beginning of realism , of the effect of reality , and it is therefore with surprise we see so facile a master as Filippino Lippi set to finish work of such elemental and tremendous genius .",4
IT_5_sample.txt,suppressed,"Frediano and the suppressed monastery of the Camaldolese , now a school ; and by this way you come to Porta S.",2
IT_5_sample.txt,most beautiful,"It was rebuilt , however , in the next twenty years from the designs of Brunellesco , and is to-day the most beautiful fifteenth-century church in Florence , full of light and sweetness , very spacious , too , and with a certain fortunate colour about it that gives it an air of cheerfulness and serenity beyond anything of the kind to be found in the Duomo or S.",5
IT_5_sample.txt,full of light,"It was rebuilt , however , in the next twenty years from the designs of Brunellesco , and is to-day the most beautiful fifteenth-century church in Florence , full of light and sweetness , very spacious , too , and with a certain fortunate colour about it that gives it an air of cheerfulness and serenity beyond anything of the kind to be found in the Duomo or S.",4
IT_5_sample.txt,sweetness,"It was rebuilt , however , in the next twenty years from the designs of Brunellesco , and is to-day the most beautiful fifteenth-century church in Florence , full of light and sweetness , very spacious , too , and with a certain fortunate colour about it that gives it an air of cheerfulness and serenity beyond anything of the kind to be found in the Duomo or S.",4
IT_5_sample.txt,cheerfulness,"It was rebuilt , however , in the next twenty years from the designs of Brunellesco , and is to-day the most beautiful fifteenth-century church in Florence , full of light and sweetness , very spacious , too , and with a certain fortunate colour about it that gives it an air of cheerfulness and serenity beyond anything of the kind to be found in the Duomo or S.",4
IT_5_sample.txt,serenity,"It was rebuilt , however , in the next twenty years from the designs of Brunellesco , and is to-day the most beautiful fifteenth-century church in Florence , full of light and sweetness , very spacious , too , and with a certain fortunate colour about it that gives it an air of cheerfulness and serenity beyond anything of the kind to be found in the Duomo or S.",4
IT_5_sample.txt,precious,"The convent , it is true , has been desecrated , and is now a barracks ; most of the altars have been robbed of their treasures ; but the church itself remains to us a very precious possession from that fifteenth century , which in Italy certainly was so fortunate , so perfect a dawn of a day that was a little disappointing , and at evening so disastrous .",4
IT_5_sample.txt,spoiled,"The sacristy is beautiful , built by Giovanni da Sangallo , and the cloisters now spoiled are the work of Ammanati .",4
IT_5_sample.txt,great,"And then , here Niccolò Niccoli is buried , that great book-collector and humanist ; while the barbarians are represented , if only by the passing figure of Martin Luther , not then forsworn , who is said to have preached here on his way to Rome .",4
IT_5_sample.txt,spoiled,"Within , the church is spoiled and very ugly .",4
IT_5_sample.txt,very ugly,"Within , the church is spoiled and very ugly .",5
IT_5_sample.txt,desecrated,"Marco , we pass the desecrated convent of the Dominicans , where Savonarola , Fra Antonino , and Fra Angelico lived , now a museum on the right ; and passing to the right into Via Cavour , come at No . 69 to the Chiostro dello Scalzo .",3
IT_5_sample.txt,suppressed,"John , which was suppressed in the eighteenth century .",2
IT_5_sample.txt,desecrated,"Returning down Via Cavour , if we turn into Via Ventisette Aprile we come to two more desecrated convents , -- that of S.",3
GB-91_sample_English_20.txt,great,"They made excellent progress , passing Mount Melbourne on February 6 , approaching near enough to the coast opposite to Mount Terror to permit them to land , after which they steamed along the great ice-barrier until they found an opening , into which they steamed , so as to enable a sledge party to land and push forward to the South .",4
GB-91_sample_English_20.txt,small,The party landed at a small beach which lay under cliffs towering five hundred feet above .,3
GB-91_sample_English_20.txt,feared,Those on shore feared for the moment that a slide had begun in the cliffs over their heads ; but it was not the rocks that were moving .,2
GB-91_sample_English_20.txt,mighty,"A mighty glacier , which entered the sea near where they were standing , was shedding an iceberg from the parent mass , and the noise was caused by the rending of the ice as the millions of tons mass tore itself free .",4
GB-91_sample_English_20.txt,icy,"Pressing themselves against the face of the cliff at the highest point they could reach , they held on for dear life while the icy water surged up and over them .",2
GB-91_sample_English_20.txt,frozen,"Towards the end of the last century there was a distinct revival , in European scientific circles , of interest in the still unsolved problems of the frozen South .",3
GB-91_sample_English_20.txt,had done so much to help in Arctic work,"The achievements of the Ross expedition , which had satisfied public curiosity for the time being , now only stimulated curiosity as to how much more could be ascertained by the use of modern steamships and all the other improved appliances that had done so much to help in Arctic work .",4
GB-91_sample_English_20.txt,some with excellent results,"For a time private enterprise operated , and several vessels were despatched , from time to time , some with excellent results ; but something more than private enterprise , working individually , was required if all the benefits of a thorough exploration were to be obtained .",4
GB-91_sample_English_20.txt,approaching continental dimensions,"The evidence collected pointed to the existence , still further to the south , of an area of land approaching continental dimensions .",3
GB-91_sample_English_20.txt,extremely depressing to their spirits and injurious to their health,"During the winter they had a period of seventy days' darkness , spent on board , the effect of which was extremely depressing to their spirits and injurious to their health .",1
GB-91_sample_English_20.txt,unable to carry out this part of the programme,"The Germans did so , but both the Swedes and the British were unable to carry out this part of the programme , the former in consequence of the loss of their ship in the ice , the latter because their ship was hard and fast in the southern ice .",2
GB-91_sample_English_20.txt,more fortunate,"The Germans were more fortunate in escaping the ill effects of what was an unusually severe ice season ; but the other nations , by the longer stay they had in the frozen regions , were able to return with a much more comprehensive collection of information .",4
GB-91_sample_English_20.txt,prevented her reaching a very high latitude,"The ice barrier prevented her reaching a very high latitude , but the connection between Knox Land and Kemp Land , appearing as isolated coasts on the old maps , was proved .",2
GB-91_sample_English_20.txt,rugged,"This led them to a rugged , steep coast line , occupying the position of what Ross had defined in 1841 as `` ice cliffs . '' The land was too high and steep to permit them to land , and the ship , becoming involved in the ice within sight of it , winter quarters were established on the ice .",3
GB-91_sample_English_20.txt,steep,"This led them to a rugged , steep coast line , occupying the position of what Ross had defined in 1841 as `` ice cliffs . '' The land was too high and steep to permit them to land , and the ship , becoming involved in the ice within sight of it , winter quarters were established on the ice .",3
GB-91_sample_English_20.txt,too high and steep,"This led them to a rugged , steep coast line , occupying the position of what Ross had defined in 1841 as `` ice cliffs . '' The land was too high and steep to permit them to land , and the ship , becoming involved in the ice within sight of it , winter quarters were established on the ice .",2
GB-91_sample_English_20.txt,hampered them in their work,"Severe gales hampered them in their work , but otherwise the winter passed without any untoward incidents .",2
GB-91_sample_English_20.txt,solid,"The interior of the land was entirely covered , so far as could be seen , by a solid ice-cap forming one of the most extensive glacial regions now known to exist .",3
GB-91_sample_English_20.txt,forming one of the most extensive glacial regions now known to exist,"The interior of the land was entirely covered , so far as could be seen , by a solid ice-cap forming one of the most extensive glacial regions now known to exist .",4
