sentence,text,_sentence_text,aspect_cat
BHL_957_sample_Dutch_19.0.txt_5312-5745,slang,"Guineërs zingen gaarne en schijnen dus veel genoegen in de muzijk te hebben , alhoewel zij maar een nog zeer onvolmaakt instrument bezitten , hetwelk , zoo wel hij die van deOetanata , als die van de Tritons-baai , op eene en dezelfde wijze gemaakt is ; bet bestaat uit een stuk hout van binnen uitgehold , aan de eene zijde met een stuk huid van eene groote haagdis of slang be- spannen , en waarop met de eene hand geslagen wordt .",FAUNA
BHL_957_sample_Dutch_19.0.txt_7301-7641,massoy,"Weinig betee- kenend is de handel , die met de bewoners van de Oeta- nata- rivier plaats vindt ; slechts één of twee vaartuigen komen hier in het jaar , om voornamelijk massoy in te nemen , die daar ongetwijfeld veel goedkooper te ver- krijgen is , dan meer om de Noord , waar de bewoners met de vreemde waren heter bekend zijn , dan hier .",FLORA
BHL_957_sample_Dutch_19.0.txt_8204-8433,massoy,"Guinea , die van hier worden uitgevoerd , zijn massoy , muskaatnoten , bellishave , ro- samala , paradijsvogels , paarlen , en verscheidene soor- ten van tripan ; van de paarlemoerschelpen wordt hier weinig of geen werk gemaakt .",FLORA
BHL_957_sample_Dutch_19.0.txt_8204-8433,bellishave,"Guinea , die van hier worden uitgevoerd , zijn massoy , muskaatnoten , bellishave , ro- samala , paradijsvogels , paarlen , en verscheidene soor- ten van tripan ; van de paarlemoerschelpen wordt hier weinig of geen werk gemaakt .",FLORA
BHL_957_sample_Dutch_19.0.txt_8204-8433,ro- samala,"Guinea , die van hier worden uitgevoerd , zijn massoy , muskaatnoten , bellishave , ro- samala , paradijsvogels , paarlen , en verscheidene soor- ten van tripan ; van de paarlemoerschelpen wordt hier weinig of geen werk gemaakt .",FLORA
BHL_957_sample_Dutch_19.0.txt_8204-8433,paradijsvogels,"Guinea , die van hier worden uitgevoerd , zijn massoy , muskaatnoten , bellishave , ro- samala , paradijsvogels , paarlen , en verscheidene soor- ten van tripan ; van de paarlemoerschelpen wordt hier weinig of geen werk gemaakt .",FAUNA
BHL_957_sample_Dutch_19.0.txt_8204-8433,tripan,"Guinea , die van hier worden uitgevoerd , zijn massoy , muskaatnoten , bellishave , ro- samala , paradijsvogels , paarlen , en verscheidene soor- ten van tripan ; van de paarlemoerschelpen wordt hier weinig of geen werk gemaakt .",FAUNA
BHL_957_sample_Dutch_19.0.txt_8884-8941,sago,Guinea onder zich bestaat voornamelijk in sago en tabak .,FLORA
BHL_957_sample_Dutch_19.0.txt_8884-8941,tabak,Guinea onder zich bestaat voornamelijk in sago en tabak .,FLORA
BHL_957_sample_Dutch_19.0.txt_8942-9104,sago,"Het dis- trikt Timakowa of Timoraka en het eiland Lokaia leve- ren veel sago op , en van bier ook wordt dezelve naar vele andere plaatsen op de kust overgebragt .",FLORA
BHL_957_sample_Dutch_19.0.txt_9365-9613,Massoy,"M 2 Mas - ( » 7 » ) Massoy is de buitenschors van een ’ grooten , zwaren , tot de familie der Laurierboomen behoorende boom , die op de hoogten van bergen groeit en onder den syste- matischen naam van Tetranthera ( Litsaea ) mas- soi bekend staat .",FLORA
BHL_957_sample_Dutch_19.0.txt_9365-9613,Laurierboomen,"M 2 Mas - ( » 7 » ) Massoy is de buitenschors van een ’ grooten , zwaren , tot de familie der Laurierboomen behoorende boom , die op de hoogten van bergen groeit en onder den syste- matischen naam van Tetranthera ( Litsaea ) mas- soi bekend staat .",FLORA
BHL_957_sample_Dutch_19.0.txt_9365-9613,boom,"M 2 Mas - ( » 7 » ) Massoy is de buitenschors van een ’ grooten , zwaren , tot de familie der Laurierboomen behoorende boom , die op de hoogten van bergen groeit en onder den syste- matischen naam van Tetranthera ( Litsaea ) mas- soi bekend staat .",FLORA
BHL_957_sample_Dutch_19.0.txt_9365-9613,Tetranthera ( Litsaea ) mas- soi,"M 2 Mas - ( » 7 » ) Massoy is de buitenschors van een ’ grooten , zwaren , tot de familie der Laurierboomen behoorende boom , die op de hoogten van bergen groeit en onder den syste- matischen naam van Tetranthera ( Litsaea ) mas- soi bekend staat .",FLORA
BHL_957_sample_Dutch_19.0.txt_9614-9723,massoij,"De massoij wordt met scheepsladingen naar Bali gebragt , en daar de pikol tot 1 5 spaansche matten verkocht .",FLORA
BHL_957_sample_Dutch_19.0.txt_9724-9984,Muskaatnoten,"Muskaatnoten ; die , welke in den handel voorko- men , zijn gewoonlijk vruchtkernen van die soort vanmuskaatboom , dien men onder den naam van My- ristica dactyloides ( gaektn . ) begrijpt ; zij wor- den insgelijks met scheepsladingen naar Bali overge- bragt .",FLORA
BHL_957_sample_Dutch_19.0.txt_9724-9984,vanmuskaatboom,"Muskaatnoten ; die , welke in den handel voorko- men , zijn gewoonlijk vruchtkernen van die soort vanmuskaatboom , dien men onder den naam van My- ristica dactyloides ( gaektn . ) begrijpt ; zij wor- den insgelijks met scheepsladingen naar Bali overge- bragt .",FLORA
BHL_957_sample_Dutch_19.0.txt_9724-9984,My- ristica dactyloides,"Muskaatnoten ; die , welke in den handel voorko- men , zijn gewoonlijk vruchtkernen van die soort vanmuskaatboom , dien men onder den naam van My- ristica dactyloides ( gaektn . ) begrijpt ; zij wor- den insgelijks met scheepsladingen naar Bali overge- bragt .",FLORA
BHL_957_sample_Dutch_19.0.txt_9985-10124,Bellishave,"Bellishave is de schors van een klimop , de Alyxia officinaüs ; de bellishave van Java komt insgelijks van eene Alyxia stellata R. et SCH .",FLORA
BHL_957_sample_Dutch_19.0.txt_9985-10124,klimop,"Bellishave is de schors van een klimop , de Alyxia officinaüs ; de bellishave van Java komt insgelijks van eene Alyxia stellata R. et SCH .",FLORA
BHL_957_sample_Dutch_19.0.txt_9985-10124,Alyxia officinaüs,"Bellishave is de schors van een klimop , de Alyxia officinaüs ; de bellishave van Java komt insgelijks van eene Alyxia stellata R. et SCH .",FLORA
BHL_957_sample_Dutch_19.0.txt_9985-10124,bellishave,"Bellishave is de schors van een klimop , de Alyxia officinaüs ; de bellishave van Java komt insgelijks van eene Alyxia stellata R. et SCH .",FLORA
BHL_957_sample_Dutch_19.0.txt_9985-10124,Alyxia stellata,"Bellishave is de schors van een klimop , de Alyxia officinaüs ; de bellishave van Java komt insgelijks van eene Alyxia stellata R. et SCH .",FLORA
BHL_957_sample_Dutch_19.0.txt_10125-10226,Rosamala,"Rosamala is de wortel van een ’ zeer grooten boom , die den naam TJcjuidamhar altingiana Bl . heeft .",FLORA
BHL_957_sample_Dutch_19.0.txt_10125-10226,wortel,"Rosamala is de wortel van een ’ zeer grooten boom , die den naam TJcjuidamhar altingiana Bl . heeft .",FLORA
BHL_957_sample_Dutch_19.0.txt_10125-10226,boom,"Rosamala is de wortel van een ’ zeer grooten boom , die den naam TJcjuidamhar altingiana Bl . heeft .",FLORA
BHL_957_sample_Dutch_19.0.txt_10125-10226,TJcjuidamhar altingiana,"Rosamala is de wortel van een ’ zeer grooten boom , die den naam TJcjuidamhar altingiana Bl . heeft .",FLORA
BHL_957_sample_Dutch_19.0.txt_10329-10628,Paradijsvogels,"Paradijsvogels zijn de onder den naam van Para- disia apoda bekende vogels ; zij leven in de bosschen , op cn aan de bergen in groote menigte te zamen , en worden door den Inlander met eene soort van lijm , die van het sap eeuer vrucht gemaakt en aan de takken der boomen gesmeerd wordt , gevangen .",FAUNA
BHL_957_sample_Dutch_19.0.txt_10329-10628,Para- disia apoda,"Paradijsvogels zijn de onder den naam van Para- disia apoda bekende vogels ; zij leven in de bosschen , op cn aan de bergen in groote menigte te zamen , en worden door den Inlander met eene soort van lijm , die van het sap eeuer vrucht gemaakt en aan de takken der boomen gesmeerd wordt , gevangen .",FAUNA
BHL_957_sample_Dutch_19.0.txt_10629-10755,Papegaai/en,"Papegaai/en worden levend gevangen en aan de vreemde handelaren verkocht , welke dezelve alsdan naar de Molukken overbrengen .",FAUNA
BHL_957_sample_Dutch_19.0.txt_10756-10893,papegaaijen,"De soorten van papegaaijen , welke ons te koop aangeboden werden , zijn Psittacus ga/e ritus novae Gui/ieae , goliath en Psittacus lori .",FAUNA
BHL_957_sample_Dutch_19.0.txt_10756-10893,Psittacus ga/e ritus novae Gui/ieae,"De soorten van papegaaijen , welke ons te koop aangeboden werden , zijn Psittacus ga/e ritus novae Gui/ieae , goliath en Psittacus lori .",FAUNA
BHL_957_sample_Dutch_19.0.txt_10756-10893,goliath,"De soorten van papegaaijen , welke ons te koop aangeboden werden , zijn Psittacus ga/e ritus novae Gui/ieae , goliath en Psittacus lori .",FAUNA
BHL_957_sample_Dutch_19.0.txt_10756-10893,Psittacus lori,"De soorten van papegaaijen , welke ons te koop aangeboden werden , zijn Psittacus ga/e ritus novae Gui/ieae , goliath en Psittacus lori .",FAUNA
BHL_957_sample_Dutch_19.0.txt_10894-11028,Kroonduiven,"Kroonduiven , in het systema onder den naam van Co- ( 17 * ) Columba coronata bekend , worden insgelijks levend gevangen en verkocht .",FAUNA
BHL_957_sample_Dutch_19.0.txt_10894-11028,Columba coronata,"Kroonduiven , in het systema onder den naam van Co- ( 17 * ) Columba coronata bekend , worden insgelijks levend gevangen en verkocht .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11029-11198,Schildpadden,"Schildpadden ( ook Caret genaamd ) komen van de Caretta imbricala M E RE . ; zij zullen hier in menig- te gevangen worden , en een ’ aanzienlijken handel daar- stellen .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11029-11198,Caret,"Schildpadden ( ook Caret genaamd ) komen van de Caretta imbricala M E RE . ; zij zullen hier in menig- te gevangen worden , en een ’ aanzienlijken handel daar- stellen .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11029-11198,Caretta imbricala,"Schildpadden ( ook Caret genaamd ) komen van de Caretta imbricala M E RE . ; zij zullen hier in menig- te gevangen worden , en een ’ aanzienlijken handel daar- stellen .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11316-11562,Tripan,"Tripan ; van de beste tot de slechtste soort van tri- pan wordt hier , en voornamelijk in de maand October gevangen , gedroogd , en zoo lang bewaard totdat de vaartuigen komen , om dezelve op te koopen ; de handel in Tripan zal aanzienlijk zijn .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11316-11562,tri- pan,"Tripan ; van de beste tot de slechtste soort van tri- pan wordt hier , en voornamelijk in de maand October gevangen , gedroogd , en zoo lang bewaard totdat de vaartuigen komen , om dezelve op te koopen ; de handel in Tripan zal aanzienlijk zijn .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11316-11562,Tripan,"Tripan ; van de beste tot de slechtste soort van tri- pan wordt hier , en voornamelijk in de maand October gevangen , gedroogd , en zoo lang bewaard totdat de vaartuigen komen , om dezelve op te koopen ; de handel in Tripan zal aanzienlijk zijn .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11905-12842,honden,"In het algemeen genomen , zijn de voort- brengselen van Nieuw Guinea van dieren en planten de volgende : honden , varkens , koeskoes ( soort van luiaard ) , en kangoeroes , verscheidene soorten van para- dijsvogels , casuaren , kroon- en andere duiven , vele soor- ten van kakatoeen , papegaaijen en watersnippen , twee soorten van schildpadden , krokodillen , vele soorten van slangen ( geene giftslangen ) en hagedissen , vele zoet water- en zeevisschen , mosselen , oesters , paarlen en paarlemoerschelpen , krabben en kreeften , en vele soor- ten van Holoturien ( tripans ) ; A'ele soorten van vruchten , als : kokosnoten , pisang , papaijen , jamboe , limoenen , manga , komkommers , laboe , katjang , kinsing muskaatno- ten ( X 74 ) ten en kanarie , vele soorten van obies padatters , ijams , sago en suikerriet , massoy , bellishave en rosamala , bamboe , rottang , atap en goemoetie , ijzerhout , en vele soorten van timmerhout .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11905-12842,varkens,"In het algemeen genomen , zijn de voort- brengselen van Nieuw Guinea van dieren en planten de volgende : honden , varkens , koeskoes ( soort van luiaard ) , en kangoeroes , verscheidene soorten van para- dijsvogels , casuaren , kroon- en andere duiven , vele soor- ten van kakatoeen , papegaaijen en watersnippen , twee soorten van schildpadden , krokodillen , vele soorten van slangen ( geene giftslangen ) en hagedissen , vele zoet water- en zeevisschen , mosselen , oesters , paarlen en paarlemoerschelpen , krabben en kreeften , en vele soor- ten van Holoturien ( tripans ) ; A'ele soorten van vruchten , als : kokosnoten , pisang , papaijen , jamboe , limoenen , manga , komkommers , laboe , katjang , kinsing muskaatno- ten ( X 74 ) ten en kanarie , vele soorten van obies padatters , ijams , sago en suikerriet , massoy , bellishave en rosamala , bamboe , rottang , atap en goemoetie , ijzerhout , en vele soorten van timmerhout .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11905-12842,koeskoes,"In het algemeen genomen , zijn de voort- brengselen van Nieuw Guinea van dieren en planten de volgende : honden , varkens , koeskoes ( soort van luiaard ) , en kangoeroes , verscheidene soorten van para- dijsvogels , casuaren , kroon- en andere duiven , vele soor- ten van kakatoeen , papegaaijen en watersnippen , twee soorten van schildpadden , krokodillen , vele soorten van slangen ( geene giftslangen ) en hagedissen , vele zoet water- en zeevisschen , mosselen , oesters , paarlen en paarlemoerschelpen , krabben en kreeften , en vele soor- ten van Holoturien ( tripans ) ; A'ele soorten van vruchten , als : kokosnoten , pisang , papaijen , jamboe , limoenen , manga , komkommers , laboe , katjang , kinsing muskaatno- ten ( X 74 ) ten en kanarie , vele soorten van obies padatters , ijams , sago en suikerriet , massoy , bellishave en rosamala , bamboe , rottang , atap en goemoetie , ijzerhout , en vele soorten van timmerhout .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11905-12842,luiaard,"In het algemeen genomen , zijn de voort- brengselen van Nieuw Guinea van dieren en planten de volgende : honden , varkens , koeskoes ( soort van luiaard ) , en kangoeroes , verscheidene soorten van para- dijsvogels , casuaren , kroon- en andere duiven , vele soor- ten van kakatoeen , papegaaijen en watersnippen , twee soorten van schildpadden , krokodillen , vele soorten van slangen ( geene giftslangen ) en hagedissen , vele zoet water- en zeevisschen , mosselen , oesters , paarlen en paarlemoerschelpen , krabben en kreeften , en vele soor- ten van Holoturien ( tripans ) ; A'ele soorten van vruchten , als : kokosnoten , pisang , papaijen , jamboe , limoenen , manga , komkommers , laboe , katjang , kinsing muskaatno- ten ( X 74 ) ten en kanarie , vele soorten van obies padatters , ijams , sago en suikerriet , massoy , bellishave en rosamala , bamboe , rottang , atap en goemoetie , ijzerhout , en vele soorten van timmerhout .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11905-12842,kangoeroes,"In het algemeen genomen , zijn de voort- brengselen van Nieuw Guinea van dieren en planten de volgende : honden , varkens , koeskoes ( soort van luiaard ) , en kangoeroes , verscheidene soorten van para- dijsvogels , casuaren , kroon- en andere duiven , vele soor- ten van kakatoeen , papegaaijen en watersnippen , twee soorten van schildpadden , krokodillen , vele soorten van slangen ( geene giftslangen ) en hagedissen , vele zoet water- en zeevisschen , mosselen , oesters , paarlen en paarlemoerschelpen , krabben en kreeften , en vele soor- ten van Holoturien ( tripans ) ; A'ele soorten van vruchten , als : kokosnoten , pisang , papaijen , jamboe , limoenen , manga , komkommers , laboe , katjang , kinsing muskaatno- ten ( X 74 ) ten en kanarie , vele soorten van obies padatters , ijams , sago en suikerriet , massoy , bellishave en rosamala , bamboe , rottang , atap en goemoetie , ijzerhout , en vele soorten van timmerhout .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11905-12842,para- dijsvogels,"In het algemeen genomen , zijn de voort- brengselen van Nieuw Guinea van dieren en planten de volgende : honden , varkens , koeskoes ( soort van luiaard ) , en kangoeroes , verscheidene soorten van para- dijsvogels , casuaren , kroon- en andere duiven , vele soor- ten van kakatoeen , papegaaijen en watersnippen , twee soorten van schildpadden , krokodillen , vele soorten van slangen ( geene giftslangen ) en hagedissen , vele zoet water- en zeevisschen , mosselen , oesters , paarlen en paarlemoerschelpen , krabben en kreeften , en vele soor- ten van Holoturien ( tripans ) ; A'ele soorten van vruchten , als : kokosnoten , pisang , papaijen , jamboe , limoenen , manga , komkommers , laboe , katjang , kinsing muskaatno- ten ( X 74 ) ten en kanarie , vele soorten van obies padatters , ijams , sago en suikerriet , massoy , bellishave en rosamala , bamboe , rottang , atap en goemoetie , ijzerhout , en vele soorten van timmerhout .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11905-12842,casuaren,"In het algemeen genomen , zijn de voort- brengselen van Nieuw Guinea van dieren en planten de volgende : honden , varkens , koeskoes ( soort van luiaard ) , en kangoeroes , verscheidene soorten van para- dijsvogels , casuaren , kroon- en andere duiven , vele soor- ten van kakatoeen , papegaaijen en watersnippen , twee soorten van schildpadden , krokodillen , vele soorten van slangen ( geene giftslangen ) en hagedissen , vele zoet water- en zeevisschen , mosselen , oesters , paarlen en paarlemoerschelpen , krabben en kreeften , en vele soor- ten van Holoturien ( tripans ) ; A'ele soorten van vruchten , als : kokosnoten , pisang , papaijen , jamboe , limoenen , manga , komkommers , laboe , katjang , kinsing muskaatno- ten ( X 74 ) ten en kanarie , vele soorten van obies padatters , ijams , sago en suikerriet , massoy , bellishave en rosamala , bamboe , rottang , atap en goemoetie , ijzerhout , en vele soorten van timmerhout .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11905-12842,kroon,"In het algemeen genomen , zijn de voort- brengselen van Nieuw Guinea van dieren en planten de volgende : honden , varkens , koeskoes ( soort van luiaard ) , en kangoeroes , verscheidene soorten van para- dijsvogels , casuaren , kroon- en andere duiven , vele soor- ten van kakatoeen , papegaaijen en watersnippen , twee soorten van schildpadden , krokodillen , vele soorten van slangen ( geene giftslangen ) en hagedissen , vele zoet water- en zeevisschen , mosselen , oesters , paarlen en paarlemoerschelpen , krabben en kreeften , en vele soor- ten van Holoturien ( tripans ) ; A'ele soorten van vruchten , als : kokosnoten , pisang , papaijen , jamboe , limoenen , manga , komkommers , laboe , katjang , kinsing muskaatno- ten ( X 74 ) ten en kanarie , vele soorten van obies padatters , ijams , sago en suikerriet , massoy , bellishave en rosamala , bamboe , rottang , atap en goemoetie , ijzerhout , en vele soorten van timmerhout .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11905-12842,duiven,"In het algemeen genomen , zijn de voort- brengselen van Nieuw Guinea van dieren en planten de volgende : honden , varkens , koeskoes ( soort van luiaard ) , en kangoeroes , verscheidene soorten van para- dijsvogels , casuaren , kroon- en andere duiven , vele soor- ten van kakatoeen , papegaaijen en watersnippen , twee soorten van schildpadden , krokodillen , vele soorten van slangen ( geene giftslangen ) en hagedissen , vele zoet water- en zeevisschen , mosselen , oesters , paarlen en paarlemoerschelpen , krabben en kreeften , en vele soor- ten van Holoturien ( tripans ) ; A'ele soorten van vruchten , als : kokosnoten , pisang , papaijen , jamboe , limoenen , manga , komkommers , laboe , katjang , kinsing muskaatno- ten ( X 74 ) ten en kanarie , vele soorten van obies padatters , ijams , sago en suikerriet , massoy , bellishave en rosamala , bamboe , rottang , atap en goemoetie , ijzerhout , en vele soorten van timmerhout .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11905-12842,kakatoeen,"In het algemeen genomen , zijn de voort- brengselen van Nieuw Guinea van dieren en planten de volgende : honden , varkens , koeskoes ( soort van luiaard ) , en kangoeroes , verscheidene soorten van para- dijsvogels , casuaren , kroon- en andere duiven , vele soor- ten van kakatoeen , papegaaijen en watersnippen , twee soorten van schildpadden , krokodillen , vele soorten van slangen ( geene giftslangen ) en hagedissen , vele zoet water- en zeevisschen , mosselen , oesters , paarlen en paarlemoerschelpen , krabben en kreeften , en vele soor- ten van Holoturien ( tripans ) ; A'ele soorten van vruchten , als : kokosnoten , pisang , papaijen , jamboe , limoenen , manga , komkommers , laboe , katjang , kinsing muskaatno- ten ( X 74 ) ten en kanarie , vele soorten van obies padatters , ijams , sago en suikerriet , massoy , bellishave en rosamala , bamboe , rottang , atap en goemoetie , ijzerhout , en vele soorten van timmerhout .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11905-12842,papegaaijen,"In het algemeen genomen , zijn de voort- brengselen van Nieuw Guinea van dieren en planten de volgende : honden , varkens , koeskoes ( soort van luiaard ) , en kangoeroes , verscheidene soorten van para- dijsvogels , casuaren , kroon- en andere duiven , vele soor- ten van kakatoeen , papegaaijen en watersnippen , twee soorten van schildpadden , krokodillen , vele soorten van slangen ( geene giftslangen ) en hagedissen , vele zoet water- en zeevisschen , mosselen , oesters , paarlen en paarlemoerschelpen , krabben en kreeften , en vele soor- ten van Holoturien ( tripans ) ; A'ele soorten van vruchten , als : kokosnoten , pisang , papaijen , jamboe , limoenen , manga , komkommers , laboe , katjang , kinsing muskaatno- ten ( X 74 ) ten en kanarie , vele soorten van obies padatters , ijams , sago en suikerriet , massoy , bellishave en rosamala , bamboe , rottang , atap en goemoetie , ijzerhout , en vele soorten van timmerhout .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11905-12842,watersnippen,"In het algemeen genomen , zijn de voort- brengselen van Nieuw Guinea van dieren en planten de volgende : honden , varkens , koeskoes ( soort van luiaard ) , en kangoeroes , verscheidene soorten van para- dijsvogels , casuaren , kroon- en andere duiven , vele soor- ten van kakatoeen , papegaaijen en watersnippen , twee soorten van schildpadden , krokodillen , vele soorten van slangen ( geene giftslangen ) en hagedissen , vele zoet water- en zeevisschen , mosselen , oesters , paarlen en paarlemoerschelpen , krabben en kreeften , en vele soor- ten van Holoturien ( tripans ) ; A'ele soorten van vruchten , als : kokosnoten , pisang , papaijen , jamboe , limoenen , manga , komkommers , laboe , katjang , kinsing muskaatno- ten ( X 74 ) ten en kanarie , vele soorten van obies padatters , ijams , sago en suikerriet , massoy , bellishave en rosamala , bamboe , rottang , atap en goemoetie , ijzerhout , en vele soorten van timmerhout .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11905-12842,schildpadden,"In het algemeen genomen , zijn de voort- brengselen van Nieuw Guinea van dieren en planten de volgende : honden , varkens , koeskoes ( soort van luiaard ) , en kangoeroes , verscheidene soorten van para- dijsvogels , casuaren , kroon- en andere duiven , vele soor- ten van kakatoeen , papegaaijen en watersnippen , twee soorten van schildpadden , krokodillen , vele soorten van slangen ( geene giftslangen ) en hagedissen , vele zoet water- en zeevisschen , mosselen , oesters , paarlen en paarlemoerschelpen , krabben en kreeften , en vele soor- ten van Holoturien ( tripans ) ; A'ele soorten van vruchten , als : kokosnoten , pisang , papaijen , jamboe , limoenen , manga , komkommers , laboe , katjang , kinsing muskaatno- ten ( X 74 ) ten en kanarie , vele soorten van obies padatters , ijams , sago en suikerriet , massoy , bellishave en rosamala , bamboe , rottang , atap en goemoetie , ijzerhout , en vele soorten van timmerhout .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11905-12842,krokodillen,"In het algemeen genomen , zijn de voort- brengselen van Nieuw Guinea van dieren en planten de volgende : honden , varkens , koeskoes ( soort van luiaard ) , en kangoeroes , verscheidene soorten van para- dijsvogels , casuaren , kroon- en andere duiven , vele soor- ten van kakatoeen , papegaaijen en watersnippen , twee soorten van schildpadden , krokodillen , vele soorten van slangen ( geene giftslangen ) en hagedissen , vele zoet water- en zeevisschen , mosselen , oesters , paarlen en paarlemoerschelpen , krabben en kreeften , en vele soor- ten van Holoturien ( tripans ) ; A'ele soorten van vruchten , als : kokosnoten , pisang , papaijen , jamboe , limoenen , manga , komkommers , laboe , katjang , kinsing muskaatno- ten ( X 74 ) ten en kanarie , vele soorten van obies padatters , ijams , sago en suikerriet , massoy , bellishave en rosamala , bamboe , rottang , atap en goemoetie , ijzerhout , en vele soorten van timmerhout .",FAUNA
BHL_957_sample_Dutch_19.0.txt_11905-12842,slangen,"In het algemeen genomen , zijn de voort- brengselen van Nieuw Guinea van dieren en planten de volgende : honden , varkens , koeskoes ( soort van luiaard ) , en kangoeroes , verscheidene soorten van para- dijsvogels , casuaren , kroon- en andere duiven , vele soor- ten van kakatoeen , papegaaijen en watersnippen , twee soorten van schildpadden , krokodillen , vele soorten van slangen ( geene giftslangen ) en hagedissen , vele zoet water- en zeevisschen , mosselen , oesters , paarlen en paarlemoerschelpen , krabben en kreeften , en vele soor- ten van Holoturien ( tripans ) ; A'ele soorten van vruchten , als : kokosnoten , pisang , papaijen , jamboe , limoenen , manga , komkommers , laboe , katjang , kinsing muskaatno- ten ( X 74 ) ten en kanarie , vele soorten van obies padatters , ijams , sago en suikerriet , massoy , bellishave en rosamala , bamboe , rottang , atap en goemoetie , ijzerhout , en vele soorten van timmerhout .",FAUNA
