,text,_sentence_text,aspect_cat
14,végétation,"Tout récemment j'ai eu le bonheur de visiter la capitale du Paraguay et j'ai ramassé dans peu de jours un assez bon nombre de plantes parmi lesquelles plusieurs sont rares et d'autres nou- Je ne crains pas de dire que pendant le cours de ton immortel voyage nous n'avons pas trouvé un seul point qui nous ait offert une aussi belle végétation , un site aussi varié et aussi enchan- teur que les environs de l'Assuncfon .",FLORA
15,es- pèces de végétaux,Ces deux es- pèces de végétaux te causèrent une rare admiration et tu répétais souvent que tu serais heureux de vivre au milieu des palmiers et des orangers .,FLORA
16,fruits de l'oranger,"Aujourd'hui dans ma ferme de Santa-Ana j'ai des bois de ces deux essences d'arbres et je préfère les orangers aux palmiers sousle rapport de la vue mais surtout pour le feuillage qui est permanent , d'un beau vert foncé , pour les fruits de l'oranger qui sont exquis , semblables aux oranges de la Havane , enfin pour 21 ( > CORRESPONDANCE D AIMÉ BONPLAND la beauté des fleurs qui embaument l'atmosphère et qui pro- duisent l'eau de fleur d'oranger .",FLORA
17,herbes,"Elle tombe en ruine , cette triste chapelle enclavée dans les anciens bâtiments de l'Hôtel-Dieu ; une margelle bouchée de puits d'où sortent quelques pauvres herbes , semble en garder la porte , qui s'ouvre sur une cour sale , encombrée de détritus , où picorent quelques maigres poules .",FLORA
18,poules,"Elle tombe en ruine , cette triste chapelle enclavée dans les anciens bâtiments de l'Hôtel-Dieu ; une margelle bouchée de puits d'où sortent quelques pauvres herbes , semble en garder la porte , qui s'ouvre sur une cour sale , encombrée de détritus , où picorent quelques maigres poules .",FAUNA
19,arbres,"En ce coin de misère et de souffrances , les murs sont humides et noirâtres ; dans ces cours sombres , poussent difficilement quelques arbres rachitiques .",FLORA
20,arbres,"Les arbres sont séculaires , les décors des charmilles n'ont pas été modifiés ; il est des coins de volières et de huttes à chèvres qui sont tels que Daubigny et Charles Jacques les dessinèrent en 1843 , pour l'illustration du bel ouvrage édité par Curmer . [ Illustration : JARDIN DES PLANTES. -- LE CÈDRE DU LIBAN ET LE LABYRINTHE .",FLORA
21,reptiles,"Bibliothèque Nationale . ] Les reptiles sont mieux logés que dans notre enfance , mais l'hippopotame se roule dans le même bassin , la girafe allonge son cou par-dessus les mêmes clôtures , et l'éléphant tend toujours à travers les mêmes grillages sa trompe engloutisseuse de petits pains .",FAUNA
22,girafe,"Bibliothèque Nationale . ] Les reptiles sont mieux logés que dans notre enfance , mais l'hippopotame se roule dans le même bassin , la girafe allonge son cou par-dessus les mêmes clôtures , et l'éléphant tend toujours à travers les mêmes grillages sa trompe engloutisseuse de petits pains .",FAUNA
23,branches,"Le labyrinthe , le délicieux labyrinthe , offre toujours aux enfants criards ses capricieux méandres , et le cèdre du Liban _ ( Cedrus Lybani ( Linnæus ) _ -- que M. de Jussieu , assure la tradition , rapporta dans son chapeau -- continue à abriter sous ses branches somptueuses les rêveurs , les flâneurs , les travailleurs et la grisette , la dernière grisette , qui vient , à l'abri de son ombre vénérable , lire l'émouvant roman-feuilleton qui remplit de douces émotions son cœur assoiffé d'idéal !",FLORA
24,papillons,"Le cèdre du Liban . ] Est-il enfin rien de plus coquet que les petites pièces des anciens bâtiments de Louis XVI , qui constituèrent jadis le Cabinet d'histoire naturelle de Buffon , dont les fines boiseries grises servirent de cadres aux admirables collections des papillons de tous les pays .",FAUNA
25,papillons,"Ils étaient tous là , les beaux papillons aux éclats métalliques des Indes et du Brésil , comme aussi les papillons aux mille couleurs de France , depuis le grand sphynx à tête de mort jusqu'au minuscule papillon bleu des prairies . [ Illustration : LE JARDIN DES PLANTES .",FAUNA
26,papillons,"Ils étaient tous là , les beaux papillons aux éclats métalliques des Indes et du Brésil , comme aussi les papillons aux mille couleurs de France , depuis le grand sphynx à tête de mort jusqu'au minuscule papillon bleu des prairies . [ Illustration : LE JARDIN DES PLANTES .",FLORA
27,orchidées,"Bibliothèque Nationale . ] Les fleurs d'eau s'épanouissent , comme jadis , dans les mêmes serres étouffantes et basses , près des orchidées aux formes étranges , et dans le vieil amphithéâtre , où professèrent tant d'illustres savants , une noble artiste , Mme Madeleine Lemaire -- le seul « professeur femme » qui ait enseigné au Muséum -- initie un auditoire attentif et charmé à la divine beauté des fleurs !",FLORA
28,fleurs,"Bibliothèque Nationale . ] Les fleurs d'eau s'épanouissent , comme jadis , dans les mêmes serres étouffantes et basses , près des orchidées aux formes étranges , et dans le vieil amphithéâtre , où professèrent tant d'illustres savants , une noble artiste , Mme Madeleine Lemaire -- le seul « professeur femme » qui ait enseigné au Muséum -- initie un auditoire attentif et charmé à la divine beauté des fleurs !",FLORA
29,crocodiles,"Souvent encore c'était à la ménagerie des reptiles , un vieux bâtiment croulant de vétusté , que nous allions , écoliers curieux et fureteurs , passer de longues heures , épiant les caméléons , contemplant les boas , essayant de faire tressaillir les crocodiles endormis , et qui paraissaient déjà empaillés !",FAUNA
30,poisson,"De place en place , le long des maigres berges , quelques blanchisseuses ont placé leurs tonneaux au ras de cette eau et chantent en battant le linge , ou de misérables gamins tentent la pêche illusoire de quelque poisson égaré dans ce ruisseau méphitique .",FAUNA
31,fleurs,"Cependant , à quelques mètres de cette sentine , les artistes de la Manufacture des Gobelins ont disposé leurs jardins de travail et d'études , où éclatent la pourpre , l'or et l'azur des plus jolies fleurs de France qui , habilement distribuées , jettent un tapis de couleurs exquises et fulgurantes dans ce triste et sombre pays de misère . * * * * * Aux confins de la ville se rencontre la Butte-aux-Cailles , un vaste terrain inculte , triste et morne qui , jusqu'en 1863 , fut une sorte de fraîche campagne avec des moulins et des fermes .",FLORA
32,chien,"Je ne vis d'abord dans ce tableau , qui représentait une plage battue par une mer encore agitée , qu'un personnage , c'était un chien hurlant devant un chapeau .",FAUNA
33,animal,L'attitude et l'expression de ce pauvre animal était si vraie que je l'entendais en le voyant .,FAUNA
34,animal,L'attitude et l'expression de ce pauvre animal était si vraie que je l'entendais en le voyant .,FAUNA
35,cétacés noirs,"On a lu dans les gazettes les détails du sinistre : les dunes crevées , les pierres énormes de la digue roulées comme de simples galets , deux cents hectares de palus , de jardins maraîchers , de labours fertiles , transformés en une petite mer intérieure , les maisons lézardées , éventrées , à demi croulantes , les gabares de pêche lancées dans les terres et finissant d'expirer là , les entrailles béantes , comme de grands cétacés noirs , rejetés hors de leur élément .",FAUNA
36,coraux,"Author: Various
Title: Various
Language: French
-- Voyage des graines . -- Oiseaux . -- Insectes . -- Sources à flux et reflux . -- Chasse aux tortues . -- Champs de coraux morts . -- Pierres transportées par les racines des arbres . -- Grand crabe . -- Corail piquant . -- Poissons se nourrissant de coraux . -- Formation des attoles . -- Profondeur à laquelle le corail peut vivre . -- Vastes espaces parsemés d'îles de corail . -- Abaissement de leurs fondations . -- Barrières . -- Franges de récifs . -- Changement des franges en barrières et des barrières en attoles . 151 BIOGRAPHIE. -- Brun-Rollet . 159 VOYAGE AU PAYS DES YAKOUTES ( Russie asiatique ) , par OUVAROVSKI ( 1830-1839 ) .",FLORA
37,crabe,"Author: Various
Title: Various
Language: French
-- Voyage des graines . -- Oiseaux . -- Insectes . -- Sources à flux et reflux . -- Chasse aux tortues . -- Champs de coraux morts . -- Pierres transportées par les racines des arbres . -- Grand crabe . -- Corail piquant . -- Poissons se nourrissant de coraux . -- Formation des attoles . -- Profondeur à laquelle le corail peut vivre . -- Vastes espaces parsemés d'îles de corail . -- Abaissement de leurs fondations . -- Barrières . -- Franges de récifs . -- Changement des franges en barrières et des barrières en attoles . 151 BIOGRAPHIE. -- Brun-Rollet . 159 VOYAGE AU PAYS DES YAKOUTES ( Russie asiatique ) , par OUVAROVSKI ( 1830-1839 ) .",FAUNA
38,Corail,"Author: Various
Title: Various
Language: French
-- Voyage des graines . -- Oiseaux . -- Insectes . -- Sources à flux et reflux . -- Chasse aux tortues . -- Champs de coraux morts . -- Pierres transportées par les racines des arbres . -- Grand crabe . -- Corail piquant . -- Poissons se nourrissant de coraux . -- Formation des attoles . -- Profondeur à laquelle le corail peut vivre . -- Vastes espaces parsemés d'îles de corail . -- Abaissement de leurs fondations . -- Barrières . -- Franges de récifs . -- Changement des franges en barrières et des barrières en attoles . 151 BIOGRAPHIE. -- Brun-Rollet . 159 VOYAGE AU PAYS DES YAKOUTES ( Russie asiatique ) , par OUVAROVSKI ( 1830-1839 ) .",FLORA
39,Bois,"Djigansk . -- Mes premiers souvenirs . -- Brigandages . -- Le paysage de Djigansk . -- Les habitants . -- La pêche . -- Si les poissons morts sont bons à manger . -- La sorcière Agrippine . -- Mon premier voyage . -- Killæm et ses environs . -- Malheurs . -- Les Yakoutes . -- La chasse et la pêche . -- Yakoutsk . -- Mon premier emploi . -- J'avance . -- Dernières recommandations de ma mère . -- Irkoutsk . -- Voyage . -- Oudskoï . -- Mes bagages . -- Campement . -- Le froid . -- La rivière Outchour . -- L'Aldan . -- Voyage dans la neige et dans la glace . -- L'Ægnæ . -- Un Tongouse qui pleure son chien . -- Obstacles et fatigues . -- Les guides . -- Ascension du Diougdjour . -- Stratagème pour prendre un oiseau . -- La ville d'Oudskoï . -- La pêche à l'embouchure du fleuve Ut . -- Navigation pénible . -- Boroukan . -- Une halte dans la neige . -- Les rennes . -- Le mont Byraya . -- Retour à Oudskoï et à Yakoutsk . 161 Viliouisk . -- Sel tricolore . -- Bois pétrifié . -- Le Sountar . -- Nouveau voyage . -- Description du pays des Yakoutes . -- Climat . -- Population . -- Caractères . -- Aptitudes . -- Les femmes yakoutes . 177 DE SYDNEY À ADÉLAÏDE ( Australie du Sud ) , notes extraites d'une correspondance particulière ( 1860 ) .",FLORA
40,chiens,"Henry Barth . -- But de l'expédition de Richardson . -- Départ . -- Le Fezzan . -- Mourzouk . -- Le désert . -- Le palais des démons . -- Barth s'égare ; torture et agonie . -- Oasis . -- Les Touaregs . -- Dunes . -- Afalesselez . -- Bubales et moufflons . -- Ouragan . -- Frontières de l'Asben . -- Extorsions . -- Déluge à une latitude où il ne doit pas pleuvoir . -- La Suisse du désert . -- Sombre vallée de Taghist . -- Riante vallée d'Auderas . -- Agadez . -- Sa décadence . -- Entrevue de Barth et du sultan . -- Pouvoir despotique . -- Coup d'oeil sur les moeurs . -- Habitat de la girafe . -- Le Soudan ; le Damergou . -- Architecture . -- Katchéna ; Barth est prisonnier . -- Pénurie d'argent . -- Kano . -- Son aspect , son industrie , sa population . -- De Kano à Kouka . -- Mort de Richardson . -- Arrivée à Kouka . -- Difficultés croissantes . -- L'énergie du voyageur en triomphe . -- Ses visiteurs . -- Un vieux courtisan . -- Le vizir et ses quatre cents femmes . -- Description de la ville , son marché , ses habitants . -- Le Dendal . -- Excursion . -- Angornou . -- Le lac Tchad . 193 Départ . -- Aspect désolé du pays . -- Les Ghouas . -- Mabani . -- Le mont Délabéda . -- Forgeron en plein vent . -- Dévastation . -- Orage . -- Baobab . -- Le Mendif . -- Les Marghis . -- L'Adamaoua . -- Mboutoudi . -- Proposition de mariage . -- Installation de vive force chez le fils du gouverneur de Soulleri . -- Le Bénoué . -- Yola . -- Mauvais accueil . -- Renvoi subit . -- Les Ouélad-Sliman . -- Situation politique du Bornou . -- La ville de Yo . -- Ngégimi ou Ingégimi . -- Chute dans un bourbier . -- Territoire ennemi . -- Razzia . -- Nouvelle expédition . -- Troisième départ de Kouka . -- Le chef de la police . -- Aspect de l'armée . -- Dikoua . -- Marche de l'armée . -- Le Mosgou . -- Adishen et son escorte . -- Beauté du pays . -- Chasse à l'homme . -- Erreur des Européens sur le centre de l'Afrique . -- Incendies . -- Baga . -- Partage du butin . -- Entrée dans le Baghirmi . -- Refus de passage . -- Traversée du Chari . -- À travers champs . -- Défense d'aller plus loin . -- Hospitalité de Bou-Bakr-Sadik . -- Barth est arrêté . -- On lui met les fers aux pieds . -- Délivré par Sadik . -- Maséna . -- Un savant . -- Les femmes de Baghirmi . -- Combat avec des fourmis . -- Cortége du sultan . -- Dépêches de Londres . 209 De Katchéna au Niger . -- Le district de Mouniyo . -- Lacs remarquables . -- Aspect curieux de Zinder . -- Route périlleuse . -- Activité des fourmis . -- Le Ghaladina de Sokoto . -- Marche forcée de trente heures . -- L'émir Aliyou . -- Vourno . -- Situation du pays . -- Cortége nuptial . -- Sokoto . -- Caprice d'une boîte à musique . -- Gando . -- Khalilou . -- Un chevalier d'industrie . -- Exactions . -- Pluie . -- Désolation et fécondité . -- Zogirma . -- La vallée de Foga . -- Le Niger . -- La ville de Say . -- Région mystérieuse . -- Orage . -- Passage de la Sirba . -- Fin du rhamadan à Sebba . -- Bijoux en cuivre . -- De l'eau partout . -- Barth déguisé en schérif . -- Horreur des chiens . -- Montagnes du Hombori . -- Protection des Touaregs . -- Bambara . -- Prières pour la pluie . -- Sur l'eau . -- Kabara . -- Visites importunes . -- Dangereux passage . -- Tinboctoue , Tomboctou ou Tembouctou . -- El Bakay . -- Menaces . -- Le camp du cheik . -- Irritation croissante . -- Sus au chrétien !",FAUNA
41,chevaux,"Nous sortîmes de table à dix heures du soir , et trois bons chevaux nous menèrent lestement à Bari , puis à Barletta .",FAUNA
42,la vue des arbres,Deux choses surtout me manquaient : le son des cloches et la vue des arbres .,FLORA
43,une espèce d'atoll,"Un navire venait de faire côte sur la ligne d'écueils qui défend , comme une espèce d'atoll , les abords de ces parages .",FLORA
44,un lit d'algues flottantes,"Il serait probablement revenu bien des fois encore , s'il ne s'était empêtré dans un lit d'algues flottantes .",FLORA
45,un bouquet de goémons,"Ses yeux gris sont comme délavés ; sa barbe rousse , givrée de sel et emperlée de gouttes d'eau , ressemble à un bouquet de goémons .",FLORA
46,foule,"Je fus assez heureux pour pouvoir engager un gardien de nuit qui , pendant que je travaillais , me protégea de la foule curieuse et des chiens .",FAUNA
47,son malheur,"J'espérais qu'après tout son malheur n'était pas irréparable , que les flots avaient pu ou pourraient rejeter sur un autre point l'ami dont ils lui avaient rendu la dépouille ; je cherchais sur le rivage l'endroit où ce pauvre homme allait aborder : j'en découvre un dans le lointain .",FAUNA
